Company Name,Competitors,Founded,Headquarters,Industry,Job Description,Job Title,Location,Rating,Revenue,Salary Estimate,Sector,Size,Type of ownership
"Bank of America
3.9",-1,1904,-1,Banks & Credit Unions,"Global Banking & Markets Chief Operating Office Sophomore Summer Analyst

Job Description & Program Overview

The Global Banking and Markets Chief Operating Office (COO) organization has groups aligned to both specific lines of business and centralized functions. Our team is dedicated to understanding the unique complexity of each of our businesses and ensuring the business operates efficiently to meet our strategic goals.

The summer analyst help with a variety of new initiatives, projects and normal business tasks. Your training and development is our top priority with extensive formal training offered at the start of the program in addition to on the job support, educational speaker events and mentorship throughout.

The analyst will liaise with line of business, enterprise control functions (e.g. Chief Financial Office, HR, Risk), and Line of business COOs to ensure the region’s businesses are run effectively and comply with control requirements:

Analyze financial and market data across businesses and prepare presentations/financial modeling
Support projects related to strategic and administrative initiatives across businesses, countries, and product lines, or business processes requiring cross-divisional coordination.
Assist in the creation of presentations for senior management on strategy, business performance, and planning initiatives.
Produce weekly financial reporting, track key deals and transactions, write macroeconomic commentary
Take meeting minutes and assist in the coordination of leadership and regional committee meetings
Field a variety of ad hoc assignments, typically with time constraints

Qualifications

Candidates must be pursuing a bachelor's degree between December 2022 and June 2023 with demonstrated academic achievement
Must demonstrate a track record of superior performance in extracurricular and professional activities
2 minimum GPA preferred
Must have a combination of strong quantitative/analytical skills and attention to detail
Must have advanced Excel and PowerPoint skills
Strategic and creative thinking; distinguished written and oral communications skills
Assertiveness, initiative, leadership, strong work ethic, team focus
Strong interpersonal skills, ability to influence and work effectively across cultures and geographic boundaries
Independent, and diligent with an interest in financial services

Bank of America does not complete third party forms from colleges, universities, or other parties.",Global Chief Operating Office Sophomore Summer Analyst Program,"New York, NY",3.9,$10+ billion (USD),51 k$-90 k$ (Esti. de Glassdoor),Finance,10000+ Employees,Company - Public
"Houlihan Lokey
3.6",-1,1972,-1,Investment Banking & Asset Management,"Financial and Valuation Advisory (FVA)

Overview

Over the past 40 years, Houlihan Lokey has established one of the largest worldwide financial and valuation advisory practices. Our transaction expertise and leadership in the field of valuation inspire confidence in the financial executives, boards of directors, special committees, retained counsel, investors, and business owners we serve. In 2017, Thomson Reuters ranked us the No. 1 U.S. M&A fairness opinion advisor over the past 20 years.

Our stability, integrity, technical leadership, and global capabilities make us a trusted advisor for clients worldwide, across a wide range of services, including Transaction Opinions, Transaction Advisory Services, Corporate Valuation Advisory Services, Portfolio Valuation & Fund Advisory Services, Real Estate Valuation & Advisory Services, Dispute Resolution Consulting, and Tech+IP Advisory.
Transaction Opinions & Valuation Advisory: Fairness Opinions, Solvency and other Capital Adequacy Opinions, Valuation Opinions
Corporate Valuation Advisory Services: Purchase Price Allocation, Goodwill Impairment, Equity-Based Compensation, Fresh-Start Accounting, Tangible Asset Valuation, Due Diligence Services
Portfolio Valuation & Fund Advisory: Fair Value Reporting, Derivatives Valuation & Risk Management, Investment Advisory Services
Financial Consulting: Litigation Support & Financial Expert Opinions
Job Description (Portfolio Valuation Analyst)

Financial Analysts within our Portfolio Valuation & Advisory Services practice are fully integrated members of our engagement teams. You will work with a dedicated, highly talented staff of professionals who will give you broad exposure to many issues and concerns affecting businesses today.

We offer a unique opportunity to work on a wealth of projects that provide exposure to various financial and valuation advisory challenges, including the valuation of complex businesses, securities, and transaction structures. As a Financial Analyst, you will research and analyze financial markets data, financial statements, industry conditions and developments, acquisitions and divestitures, and various investment attributes of publicly traded and privately held securities. You will also have an opportunity to develop complex financial models, draft client deliverables, participate in presenting analyses and conclusions, interact with clients on active engagements, and participate in the firm’s marketing efforts.

Responsibilities (Portfolio Valuation Analyst)
Supporting FVA portfolio valuation teams, which provide valuations of illiquid debt and equity securities held by hedge funds, private equity funds, and business development companies in connection with fair value reporting of the funds’ assets to investors;
Performing financial statement analysis and other quantitative and qualitative assessments;
Reviewing client investment memoranda, board of directors presentations, specific debt and equity agreements, and financial models to develop an understanding of the company or securities being analyzed;
Compiling statistical summaries of companies’ financial information, developing and computing financial ratios, and presenting the analyses in an organized manner and/or using our standard formats and presentations;
Reviewing and compiling published financial information, such as public company filings, press releases, reports from published research analysts, and Bloomberg data across a wide range of industries and sectors;
Identifying relevant comparable public companies and M&A transactions within parameters established by FVA project teams, based upon information services such as S&P Capital IQ and Bloomberg, along with knowledge of the appropriate Standard Industrial Classification and other methods, as appropriate;
Constructing and reviewing valuation and other financial analyses, including the guideline public companies, guideline precedent transactions, and discounted cash flow analyses, using Houlihan Lokey proprietary models;
Researching and providing information on (a) general economic conditions, (b) industry-specific conditions and trends, (c) acquisitions and divestitures within specific industries, and (d) various investment attributes of publicly traded and privately held securities;
Participating in telephonic and in-person due diligence meetings/discussions, communicating with clients and responding to auditor questions regarding valuation analyses prepared by Houlihan Lokey;
Designing and drafting client deliverables;
Assisting in the preparation of fee proposals to clients, including scoping discussions, pitch materials, and internal engagement pricing committee memoranda;
Performing other ad-hoc research, analytics, and support for the FVA project teams as required;
Coordinating with internal administrative support teams to prepare engagement invoices, working paper files, and other compliance/end-of-engagement close out procedures;
Participating in discussions with in-house and outside legal counsel as required; and
Assisting with marketing initiatives for prospective and existing clients.
Qualifications (Portfolio Valuation Analyst)

The environment at Houlihan Lokey is collegial and entrepreneurial and, as such, rewards staff with substantial responsibility and interaction with senior-level professionals and clients. The ideal candidate thinks strategically, is motivated, detail oriented, creative, outgoing, and possesses strong quantitative skills.

The Portfolio Valuation Financial Analyst will primarily support valuation professionals in the Portfolio Valuation & Advisory Services practice firm-wide, may occasionally be required to work on certain valuation engagements in other FVA services, and will gain broad exposure to a wide range of industries and situations.

The ideal candidate may have some of the following qualifications:
Minimum of one year of work experience at an accounting or valuation firm in a valuation capacity
Bachelor’s degree in Finance, Accounting, Business, or Applied Economics
Strong analytical abilities
Excellent understanding of financial statements analysis with the ability to work through key assumptions, implicit caveats, and limitations
A fundamental understanding of financial valuation theory, methodologies, and applications
Strong knowledge of Excel modeling, including integrated cash flow modeling
Excellent verbal and written communication skills
Demonstrated ability to work cooperatively with team members
Ability to work independently in a fast-paced environment
An exceptional work ethic
Big Four, Independent Valuation Consultants, and/or transaction advisory services experience is a plus
Equal Opportunity Employer M/F/D/V

CB#",Financial Analyst - Financial and Valuation Advisory (Portfolio Valuations),"New York, NY",3.6,$500 million to $1 billion (USD),84 k$-92 k$ (Esti. de Glassdoor),Finance,1001 to 5000 Employees,Company - Public
"Citibank
3.5",-1,-1,-1,Lending,"The Algorithmic Trading Quant team of Equities Electronic Execution business is responsible for the research, design, implementation and maintenance of equities and options execution algorithms and related trading products offered to Citis institutional clients and internal trading desks. The team works on a global platform with specific responsibility for North America and LATAM markets. Development Value : As an opportunity to work in a fast-paced environment as a member of a quant group that develops cutting-edge algorithmic trading strategies, this position offers the opportunity to combine strong quantitative, technical and soft skills to foster innovation in a collaborative team culture. It is an opportunity to be involved in challenging new initiatives, learn the latest developments in the Algorithmic Trading world and be part of Citis growing Equity Trading franchise. Responsibilities : Improve existing Equity trading algorithms - both underlying models and implementation with the objective of providing best in class execution performance. Research and analyze ideas for enhancing existing and developing new algorithms (such as optimal schedule), models (such as market impact model) and short term signals. Perform analysis of large data sets comprising of market data, orders, executions and derived analytics. Implement client customization requests for bespoke algorithms. Support client algorithmic trading enquiries and assist with performance analysis & reporting. Enhance the trading model development and simulation frameworks. Apply best practices towards developing modular, reusable, robust trading components. Knowledge/Experience : Good understanding of US Equity Algorithmic Trading and Market Microstructure. Minimum 5 years of experience in trading environment of which minimum 2 years should be developing agency execution algorithms, smart order routing strategy and liquidity seeking strategies or high frequency trading strategies. Experience applying statistical modelling and machine learning towards analysis of large data sets. Experience with Market Impact and Optimal Trading schedule models are desirable. Strong programming and software design skills in Java. Minimum of 3 year of software development experience is required. Experience with low latency and/or high performance systems are desired. Strong candidates with experience in other object oriented languages such as C++ will also be considered. Strong analytical and quantitative skills and experience using with statistical programming languages such as Python or R. Experience with Q/KDB or time series databases desirable. Good communication skills, both verbal and written. Ability to juggle multiple tasks and projects in a fast paced work environment. Qualifications : Masters or PhD in Finance, Mathematics, Engineering, Computer Science or related field Applicable licenses: Will be required to either already have or apply upon arrival for Series 7 and 63. ------------------------------------------------- Job Family Group: Institutional Trading ------------------------------------------------- Job Family: Quantitative Analysis ------------------------------------------------------ Time Type: ------------------------------------------------------ Citi is an equal opportunity and affirmative action employer. Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran. Citigroup Inc. and its subsidiaries (""Citi) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review Accessibility at Citi . View the "" EEO is the Law "" poster. View the EEO is the Law Supplement . View the EEO Policy Statement . View the Pay Transparency Posting",MQA - Equities Algorithmic Trading Quantitative Analyst VP/Director,"New York, NY",3.5,$50 to $100 million (USD),84 k$-92 k$ (Esti. de Glassdoor),Finance,5001 to 10000 Employees,Subsidiary or Business Segment
"WeWork
3.3",-1,2010,-1,Membership Organizations,"As a Marketing Analyst based in New York, you will partner with colleagues in the US and Canada Regional Marketing Team to support the growth of all WeWork lines of business. Helping the team make data driven decisions when it comes to spotting trends, shaping plans, measuring effectiveness and tracking performance metrics. Reporting to the Head of Regional Marketing, you will play an active role in influencing integrated marketing activations for the USC region across a multitude of channels.

You’ll work collaboratively with Global counterparts located both in NYC and Internationally for consistent approaches to analyzing regional and global marketing data, testing hypotheses and communicating recommendations. The ideal candidate will have exceptional analytical and quantitative problem solving skills. In particular, excelling in this role will require an analyst to be confident in distilling complex data sets into actionable solutions and communicate these clearly verbally and in writing. The ability to read and understand data, and then craft and communicate a narrative within MS Powerpoint or Google Slides is a must.

Responsibilities
Proactively analyze data, identify trends and develop recommendations for changes to investment & marketing strategies across the channels.
Lead development of Weekly and Monthly marketing update presentations to senior and executive management.
Ensure activity across marketing campaign funnels and customer behaviour flows are tagged and tracked accurately for reporting and analysis, across multiple channels, including, but not limited to territory marketing, paid search, social, display and email marketing.
Support marketing team on SQL and data needs, including regular and ad hoc reporting.
Manage multiple projects and deliver against deadlines for a range of senior stakeholders internally.
Work collaboratively, including with external agencies/partners.
Partner closely with our Growth Operations team to assist with translating Sales goals and past performance into more predictive forecasting and analytical models for Marketing
Experience and qualifications
Bachelor of Science degree or equivalent, with a strong academic record.
5+ years of experience within a role focused on data analytics, ideally in marketing/advertising.
Expertise in presentation development software (e.g. Google Slides/MS Powerpoint)
Proficient at utilizing SQL to query from the data warehouse (preferably Snowflake)
Confident working with various digital analytics and visualization platforms (such as Google Analytics, Salesforce, Looker, Tableau) and the ability to quickly understand new software (ie. Dataroma).
Strong understanding of ad trafficking and online tracking mechanisms including but not limited to Doubleclick Campaign Manager, UTMs, floodlight/pixel tags, etc.
Experience in reporting on customer insights, LTV analysis and A/B testing
WeWork will not cover the cost of relocation for this position. Should your application be successful, you would be responsible for your own relocation expenses.","Senior Marketing Analyst, USC","New York, NY",3.3,Unknown / Non-Applicable,84 k$-92 k$ (Esti. de Glassdoor),Business Services,10000+ Employees,Company - Private
"Marathon Asset Management, LP
3.9",-1,1998,-1,Investment Banking & Asset Management,"Overview:

Marathon Asset Management is dedicated to seeking attractive absolute returns through investments in the global credit markets and real estate related markets. We are seeking an exceptionally bright, conscientious, and articulate Analyst with excellent interpersonal skills and a strong work ethic to join our Marketing and Client Service team in our New York office. The role provides exposure to Senior Management, Investor Relations, Portfolio Management/Trading, and Research and is an opportunity to join a high-caliber and expanding team.

Responsibilities:
Creating and maintaining fund marketing materials as well as ad-hoc marketing and due diligence materials
Working across several teams to obtain and synthesize information in order to prepare communication materials including investor letters, performance updates, and educational pieces for investors
Analyzing quantitative and qualitative information including fund performance and portfolio metrics
Authoring investor requests for proposals (RFPs), requests for information (RFIs), and Due Diligence Questionnaires (DDQs)
Supporting senior professionals with strategic projects and market research

Qualifications:

1-3 years of experience in the financial services industry
Strong Excel and PowerPoint skills (data analytics and/or Bloomberg experience a plus)
Impeccable attention to detail
Ability to multi-task
Understanding of and interest in markets; credit market and/or private fund experience is a plus
Strong communication and interpersonal skills

No agencies, please
Equal Opportunity Employer M/F/D/V",Analyst- Marketing and Client Services,"New York, NY",3.9,$50 to $100 million (USD),84 k$-92 k$ (Esti. de Glassdoor),Finance,51 to 200 Employees,Company - Private
"Citibank
3.5",-1,-1,-1,Lending,"Risk Technology is looking for a hands-on Senior C++ quant developer. The candidate will design and develop advanced scenario generation and valuation models for Counterparty Credit Risk Management. The role requires excellent communication skills, strong analytical problem solving abilities, solid academic background and expert programming skills. Knowledge of financial products and markets is essential to succeed in this role. Core responsibilities include: Design and implement analytical models for counterparty credit and market risk calculations. Support end-to-end model validation and application platform integration testing Ability to interpret and analyze new regulatory analytics requirements. Mentor junior developers. Maintain up-to-date understanding of the project and communicate, at a variety of levels, the activities, risks, issues, assumptions, dependencies of the project Manage multiple tasks effectively and independently to meet deadlines Job Skills / Qualifications: Advanced degree (PhD/MS/MEng) in a quantitative field such as Math, Statistics, Computational Finance or Engineering 10+ years of hands-on software development experience in C++ (expert programmer) Advanced Quantitative Skills: Numerical Methods, Stochastic Calculus/Probability and Random Processes, Martingale Methods in arbitrage pricing, Statistics/Time Series Analysis Intimate familiarity with OTC Product space knowledge of fundamental traded products, valuation methodologies, market data, industry trends, etc Conversant with build, deployment and debugging processes (on Linux) such as GDB/Make/Makefiles SVN, CVS Scripting: At least one of the following: Python, Perl, Matlab, R Must be able to communicate and interact effectively with business users, product quants, project managers and IT stakeholders Must be well organized and able to meet stakeholder delivery commitments #LI-AS1 ------------------------------------------------- Job Family Group: Technology ------------------------------------------------- Job Family: Applications Development ------------------------------------------------------ Time Type: ------------------------------------------------------ Citi is an equal opportunity and affirmative action employer. Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran. Citigroup Inc. and its subsidiaries (""Citi) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review Accessibility at Citi . View the "" EEO is the Law "" poster. View the EEO is the Law Supplement . View the EEO Policy Statement . View the Pay Transparency Posting",Quant Developer - C14 - New York R,"New York, NY",3.5,$50 to $100 million (USD),84 k$-92 k$ (Esti. de Glassdoor),Finance,5001 to 10000 Employees,Subsidiary or Business Segment
"GTS
3.7",-1,1998,-1,Advertising & Marketing,"Overview:

GTS is a leading global electronic market maker, powered by combining market expertise with innovative, proprietary technology. As a quantitative trading firm continually building for the future, GTS leverages the latest in artificial intelligence systems and sophisticated pricing models to bring consistency, efficiency, and transparency to today’s financial markets. GTS accounts for 3-5% of daily cash equities volume in the U.S. and trades over 30,000 different instruments globally, including listed and OTC equities, ETFs, futures, commodities, Fixed Income, foreign exchange, and interest rate products. GTS is the largest Designated Market Maker (DMM) at the New York Stock Exchange, responsible for nearly $12 trillion of market capitalization. Our workplace of 200 plus employees welcomes people of all backgrounds and experiences, and we take pride in our diverse workforce. We evaluate qualified applicants without regard to race, color, national origin, gender or gender identification, sexual orientation, disability, protected veteran status and statuses protected by law. The GTS culture is collaborative and entrepreneurial and welcomes individuals of all kinds.

Responsibilities:

GTS is expanding its trading of global ETF Products and looking for quant strategists with proven alpha to join our team. The primary focus of the trading strategies should be ETFs, but all products are available for trading including equities, futures, fixed income, and FX.

Designing, managing, and running your trading strategies in collaboration with our existing team
Perform your own trading strategy design and research which requires high level development on C++ and Python
Collaborate with the team’s technology and trading experts for production implementation
Work with existing team while contributing own alphas and strategies

Strategy Style:

The trading strategies can be either price making or taking and can be either purely prop or market making in style. Expectation are for higher Sharpe / lower drawdown strategies that perform well on a consistent basis under many market conditions. Based on our low-cost infrastructure strategies that meet the performance criteria with lower absolute PnL can be attractive to both GTS and the candidate’s compensation.

Qualifications:
Strategy requirements: Min. 1-year track record in production, 3+ Sharpe ratio, no minimum P&L required
Strong programming skills, C++ and Python preferred
3 years in a trading or quantitative research position
Significant experience with alpha generation and portfolio management
Educational background in engineering, math, statistics, finance, or financial engineering
Self-motivated, hard-working, and creative personality
Clear and confident communication skills

Visa sponsorship available for the right candidate.

We are proud to employ some of the leading talent in the industry, and we work to ensure our employees enjoy a high quality-of-life.

What We Offer:

A selection of healthcare plans for you and your family, some 100% employer paid: with coverage starting on day one
Free lunch daily and a fully stocked pantry
Casual dress code
Company outings, including bowling, casino nights and happy hours

#LI-DNI",ETF Quantitative Strategist,"New York, NY",3.7,$5 to $10 million (USD),84 k$-92 k$ (Esti. de Glassdoor),Business Services,51 to 200 Employees,Company - Private
"MUFG
3.1",-1,1864,-1,Banks & Credit Unions,"Description

Do you want your voice heard and your actions to count?

Discover your opportunity with Mitsubishi UFJ Financial Group (MUFG), the 5th largest financial group in the world (as ranked by S&P Global, April 2020).In the Americas, we’re 13,000 colleagues, striving to make a difference for every client, organization, and community we serve. We stand for our values, developing positive relationships built on integrity and respect. It’s part of our culture to put people first, listen to new and diverse ideas and collaborate toward greater innovation, speed and agility. We’re a team that accepts responsibility for the future by asking the tough questions and owning the solutions. Join MUFG and be empowered to make your voice heard and your actions count.

Overall Purpose of Job:

Support Portfolio Management group and handle credit coverage for non-investment Corporate and mid Corporate clients.

The Analyst will be a corporate finance professional, supporting non-investment grade coverage across an industry vertical lending business. Critical function of assessing risk factors associated with a credit and determining appropriate rating based on established policies and guidelines. Responsibilities will include supporting the active credit management of a designated portfolio utilizing solid credit and analytical skills. Provide continuous oversight of portfolio names, monitoring for potential upgrading, downgrading and credit deterioration with the goal of maximizing net income and reducing credit costs.

Responsibilities:
Support the management of a segment of an Industry vertical commercial loan portfolio.
Perform due diligence and regularly scheduled evaluation of loan portfolio for which they support.
Support preparation of detailed credit analyses and required credit application according to policy, including evaluation of corporate, regulatory and industry risk, historical operating performance, projected operating performance and capital structure.
Modeling skills required for both credit application process and Quarterly Credit Watch presentations.
Responsible for the coordination and communication of account information across various constituencies throughout the organization.
Responsible for knowledge of country/risk factors on a macro level.
Responsible for knowledge of particular industries and all current events in assigned portfolio utilizing internal and external sources.
Oversight of covenants compliance database and facility closing due diligence, including documentation.
Attend RM customer meetings when appropriate.
Special projects as assigned.

Advanced Credit/Underwriting Solutions:

Work within deal team environment (with GRM, Syndications & Mitsubishi UFJ Securities) supporting Senior PM’s in the development and analysis of financing structures/strategies to support/identify M&A and Corporate re-capitalization opportunities.
Prescreen proposed transactions to identify critical structural issues and risks, balancing institutional policy with business development needs.
Work on structured credit transactions (including Financial Solution opportunities, securitizations, specialized leasing transactions, and up-tier proposals).
Understand and maintain base industry knowledge of industries represented in portfolio, including technical aspects, regulatory issues and unique credit product activity.
Participate in client and bank meetings as necessary.
Policy and Deal Advocacy:
Supporting the Senior PM, communicate and negotiate with CDA for transaction approval, including final hold level strategies to ensure alignment of risk strategy and policy.
Evaluate and establish appropriate ratings for transactions and correlate appropriate exposure level with regard to exposure on both a transaction and group level.
Ensure compliance with policy and regulatory requirements (i.e. CEA, AOA, FSA, OCC and FRB).

Bachelor's degree; a CFA is an asset.
Solid credit and analytical background, including at least 1 year of experience in a related role.
Modeling skills required.
Completion of formal credit-training program at a money center bank is preferred.
Strong written, verbal and interpersonal skills.
Strong financial spreading/modeling skills required.
Good computer skills in Microsoft Word, Access and Excel.
Able to work independently and under pressure

The above statements are intended to describe the general nature and level of the work being performed. They are not intended to be construed as an exhaustive list of all responsibilities, duties, and skills required of personnel so classified.",Credit Risk Analyst,"New York, NY",3.1,$10+ billion (USD),84 k$-92 k$ (Esti. de Glassdoor),Finance,10000+ Employees,Company - Public
"Memorial Sloan-Kettering Cancer Center
4.0",-1,1884,-1,Health Care Services & Hospitals,"Company Overview:

At Memorial Sloan Kettering (MSK), we’re not only changing the way we treat cancer, but also the way the world thinks about it. By working together and pushing forward with innovation and discovery, we’re driving excellence and improving outcomes.

For the 30th year, MSK has been named a top hospital for cancer by U.S. News & World Report. We are proud to be on Becker’s Healthcare list as one of the 150 Great Places to Work in Healthcare in 2019, as well as one of Glassdoor’s Employees’ Choice Best Place to Work for 2019. We’re treating cancer, one patient at a time. Join us and make a difference every day.

Job Description:

At MSK, we are on a multi-year journey to transform all aspects of the cancer care industry. We are driving forward with innovative ideas and the development of leading-edge digital offerings. To support this effort, we are seeking an experienced, hardworking, and creative individual to join us as Sr. Software License & Asset Management Analyst, in our Digital Informatics & Technology Solutions (DigITs) organization.

Your role will have a critical part in designing and implementing software license and asset management strategies for all data center IT applications utilized throughout MSK, enabling outstanding cancer research, clinical care, and education across the enterprise. This is a significant responsibility which includes up to and over 400 applications. In addition to being a part of a new SLAM organization, you will assist in the development of SLAM policies, processes and procedures. In this capacity, you will interface and influence key internal DigITs technology partners such as IT Procurement, IT Finance and the IT Contracts as well as external partners. To succeed you will be encouraged to operationalize people, processes, and technology to eliminate legal and financial risk.

You will:
Collect and maintain accurate software licensing information in SLAM tool
Develop, run and distribute reports for software compliance, inventory, financial data, maintenance contracts, SaaS and subscription contracts
Assist in the development of SLAM policies, processes and procedures
Work with IT Procurement and IT Contracts to ensure all legacy and new software entitlements are recorded in the SLAM tool
Perform internal self-audits
Assist in external vendor audits
Ensure expiring maintenance, subscription and SaaS contracts are renewed after software re-harvesting and license optimization takes place
Respond to request for new software installations and existing software transfers
Continuously identify cost savings opportunities
Our ideal candidate has:
7-10 years of demonstrated ability in Software Asset Management
Deep understanding of complex data center licenses
Knowledge of product use rights for major data center publishers such as Microsoft (SQL Server), Oracle, IBM, SAP, VMware, Symantec
Experience with Healthcare software applications preferred
Experience with SAM tools such as Flexera, Snow, ServiceNow, Aspera
Strong quantitative, analytical, problem solving skills
IAITAM or CSAM certification a plus

Location: NYC - Midtown East near Grand Central or Remote

#LI-POST!

Benefits

Competitive compensation packages | Sick Time | Generous Vacation + 12 holidays to recharge & refuel | Internal Career Mobility & Performance Consulting | Medical, Dental, Vision, FSA & Dependent Care | 403b retirement savings plan match | Tuition Reimbursement | Parental Leave & Adoption Assistance | Commuter Spending Account | Fitness Discounts & Wellness Program | Resource Networks | Life Insurance & Disability | Remote Flexibility

We believe in communication, transparency, and thinking beyond your 8-hour day at MSK. It’s important to us that you have a sense of impact, community, and work/life balance to be and feel your best.

Closing:

MSK is an equal opportunity and affirmative action employer committed to diversity and inclusion in all aspects of recruiting and employment. All qualified individuals are encouraged to apply and will receive consideration without regard to race, color, gender, gender identity or expression, sexual orientation, national origin, age, religion, creed, disability, veteran status or any other factor which cannot lawfully be used as a basis for an employment decision.

Federal law requires employers to provide reasonable accommodation to qualified individuals with disabilities. Please tell us if you require a reasonable accommodation to apply for a job or to perform your job. Examples of reasonable accommodation include making a change to the application process or work procedures, providing documents in an alternate format, using a sign language interpreter, or using specialized equipment.",Senior Software License & Asset Management Analyst,"New York, NY",4.0,$2 to $5 billion (USD),84 k$-92 k$ (Esti. de Glassdoor),Health Care,10000+ Employees,Nonprofit Organization
"Lenmar Consulting
2.3",-1,-1,-1,Staffing & Outsourcing,"Market Risk Analyst- Global Financial Firm*
Business Overview: *
Valuation and Risk Control (V&RC) is a global group performing controls across Global Markets involving all product asset classes including risk limit controls, trader mandate management and Independent Price Verification.

V&RC Transversal Control (V&RC TC) is a distinct group within the V&RC organization, whose main objectives are:
Perform controls over end-of-day and intraday risk limits
Ensure compliance with trader mandates
Escalate and report breaches to management
Responsibilities: *
Contribute to Risk Control framework: End-of-day Risk Limits, Intraday Risk Limits and Trader Mandates. This increasingly complex and demanding function requires ongoing participation in process execution, analyses, and project coordination by all team members.
Ensure that daily end-of-day/intraday limits and mandate breaches are investigated, understood, promptly escalated according to the global policy and all the comments are well documented in the daily/weekly/monthly summary reports and Dashboard.
Particularly regarding the risk limits monitoring there is a need for constant dialogue and interaction with Front Office management, the Risk and Operations department and IT to:
Understand the methodologies used to compute the market risks indicators in the risk systems to calculate end-of-day risk and Intraday risk limits
Identify, research and resolve limit discrepancies between the FO system and Risk system
Identify inconsistencies across risk indicators
Coordinate with other internal groups to resolve issues and post accurate market risk in the official Risk system
Ensure control exhaustiveness
For the trader Mandate management function:
Understand the different mandate characteristics and controls across the various product asset classes
Identify, investigate and escalate policy breaches
Summarize and report outstanding issues to global V&RC management, coordinate to resolve the issue (ie: update the mandate systems globally, amend the mandate reconciliation logic)
Ensure timely signoff if Trading Mandates by FO personnel
Ensure control exhaustiveness
Changes are documented and exhaustively maintained.
Implement new controls and processes arising changes in the regulatory environment such as Volcker and the French Banking Law
Minimum Required Qualifications: *
Experience/Skills
1+ years of relevant financial related industry experience
Project coordination skills. Effectively communicate and coordinate across diverse global groups to meet challenging targets.
Prior P&L, Product Control or Audit experience or other experience working in a control function
Working product knowledge across a wide range of asset class.
Strong IT skills including Excel and VBA.
Technically strong in areas of financial mathematics complemented by knowledge of market practice.
Preferred Qualifications*
Master’s in Financial Engineering or related graduate degree
Rate- 36/hr*
Location- Remote until further notice*
Length- 1 year to start*
Jared Ferrato*
Senior Recruiter, Lenmar Consulting, Inc.

T: 201.946.1777 ext. 4005

Job Types: Temporary, Contract

Pay: $32.00 - $36.00 per hour

Schedule:
Monday to Friday
Experience:
Advanced Excel: 1 year (Required)
market risk: 1 year (Required)
VBA: 1 year (Required)
Education:
Bachelor's (Required)
Contract Length:
1 year
Contract Renewal:
Likely
Full Time Opportunity:
Yes
Work Remotely:
Temporarily due to COVID-19",Market Risk Analyst- Global Financial Firm,"Jersey City, NJ",2.3,$10 to $25 million (USD),84 k$-92 k$ (Esti. de Glassdoor),Business Services,201 to 500 Employees,Company - Private
"Tradeweb Markets LLC
4.2",-1,1997,-1,Financial Transaction Processing,"We are seeking a Quantitative Developer to partner with researchers, leveraging cutting edge technology to provide analytics and model delivery for automated quoting and marking of corporate bonds and loans.

Job Responsibilities:
Work with Senior Management and team members to design, model and generate algorithm ideas.
Design, develop, test, stress-test, back-test and fine tune models and real-time algorithms created.
Research and develop quantitative financial models and tools across corporate bonds and loans.
Drive design, roll-out and adoption of systems to automate price discovery and quoting of corporate bonds and loans.
Qualifications
Bachelors, Masters or PhD degree in Computer Science, Mathematics, Statistics, or equivalent field
5+ years of professional experience developing infrastructure to support quantitative models and trading systems.
Strong OO design skills are required, most likely obtained using C++.
Extensive Python experience, including familiarity with methods for working with large data and tools for data analysis (pandas, numpy, scikit, Tensor Flow, Spark, etc).
Experience with Machine Learning Algorithms, Optimization, NLP will be a big plus.
Experience with Distributed Computing, Networking and System Design
Exceptional quantitative and analytical skills
Strong written and verbal communications skills
Passion for technology, software development, and mathematics
About Tradeweb:

Tradeweb Markets Inc. (NASDAQ: TW) is a leading, global operator of electronic marketplaces for rates, credit, equities and money markets. Founded in 1996, Tradeweb provides access to markets, data and analytics, electronic trading, straight-through-processing and reporting for clients in the institutional, wholesale and retail markets. Advanced technologies developed by Tradeweb enhance price discovery, order execution and trade workflows while allowing for greater scale and helping to reduce risks in client trading operations. For more information, please go to www.tradeweb.com.

Tradeweb Markets LLC (""Tradeweb"") is proud to be an EEO Minorities/Females/Protected Veterans/Disabled/Affirmative Action Employer.

https://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf",Quantitative Developer,"New York, NY",4.2,Unknown / Non-Applicable,84 k$-92 k$ (Esti. de Glassdoor),Finance,501 to 1000 Employees,Company - Public
